id,source,description,text
11,ruslanmv_ai_medical_chatbot,"Q. Every time I eat spicy food, I poop blood. Why?","Patient: Hi doctor, I am a 26 year old male. I am 5 feet and 9 inches tall and weigh 255 pounds. When I eat spicy food, I poop blood. Sometimes when I have constipation as well, I poop a little bit of blood. I am really scared that I have colon cancer. I do have diarrhea often. I do not have a family history of colon cancer. I got blood tests done last night. Please find my reports attached.

Doctor: Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->"
12,ruslanmv_ai_medical_chatbot,Q. Will Kalarchikai cure multiple ovarian cysts in PCOD?,"Patient: Hello doctor, I have multiple small cysts in both ovaries (PCOS). Our family friend suggested me to consume Kalarchikai medicine, powdered mixed with pepper and honey to have it for one mandalam (48 days). I have completed nearly 44 days by consuming one small ball of the mixture every morning and before two weeks I got my periods. Then I had checked whether the cysts were dissolved by having an abdomen scan. But still, small multiple follicules have been seen in it with both ovaries enlarged. Kindly suggest me what I can do further. I got married before one and a half years and I am much worried about my pregnancy. I have gallstones as well.

Doctor: Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help."
13,ruslanmv_ai_medical_chatbot,Q. I masturbate only by rubbing the tip of the penis. Is it a wrong way?,"Patient: Hi doctor, During masturbation I just rub the tip of the penis and not the entire penis. Is it a wrong way of doing? I do not get excited during sex and unable to ejaculate. Only, rubbing the tip of the penis gives me excitement. Also, two weeks ago, I have undergone circumcision as my foreskin did not retract. Before circumcision too, I have the same problem. Please help.

Doctor: Hi. For further doubts consult a sexologist online -->"
14,ruslanmv_ai_medical_chatbot,Q. I have stomach pain and bloating after taking Augmentin 625. Why?,"Patient: Age - 33 years Height - 164 cms Weight - 67 Kg I am suffering from sore throat so I took Augmentin 625 before 12-13 days back but found no improvement but I started suffering from Stomach pain and excessive gases. Now I am taking below medicines as per prescribed by ENT specialist that are 1.Allegra M tablet 2.Rinifol capsule 3.Esoz D 40 capsule 4.Acinil O surup for ten days.Two days remaning to finish course. Stomach pain and blown stomach due to gas is still there.

Doctor: Hello. I welcome you to icliniq. Well it is not uncommon to have Gastric upsets after a course of antibiotic. And antibiotic like augmentin are notorious to cause this. This occur secondary to effect of augmentin on decreasing the amount of lactobacillus microorganism which are normally present in the human gut and help digest the food. You should take yougurt, Kefir (fermented yougurt), Kefir. and there are certain diets with probiotic activity you can start taking it. Plus take Tab Ecotec twice daily for 4 weeks, and Tab Levosulpiride 75 mg once daily half hour before meals.for 2 weeks. You can continue with acinil O syp. while rest of your current medication can be stopped. I hope this will correct your microbiota and will bring the same healthiness as before. good day Antibiotic induced dysbiosis Small intestinal bacterial overgrowth Antibiotic induced dysbiosis Let me know in one week time how you respond to above regimen, if persistent of symptoms I would consider testing and giving some safe antibiotic therapy for 2 weeks."
15,ruslanmv_ai_medical_chatbot,Q. Can a painless tooth be extracted since it has a hole in it?,"Patient: Hello doctor,Can I pull out hard teeth out no pain because I got a hole in my teeth? Whenever I use to eat something, it got stuck in it and caused severe pain. Kindly give me some advice about pulling it out without any pain.

Doctor: Hello. I had gone through your question, and I can understand your concern. If the pain occurs only when you eat food and it gets stuck into it, it is reversible pulpitis. For that, you do not need to get it extracted. You need to get it filled, and it will cost you less than that of pulling (extraction). Second, you will save your tooth too. My suggestion is to get dental filling done as soon as possible. If you want to get it removed, you need to visit a doctor (dentist), and there will be no pain because during extraction local anesthesia is given."
16,ruslanmv_ai_medical_chatbot,Q. What does the darker pigmentation at the armpits indicate?,"Patient: Hello doctor, My reverse elbow armpits have developed a darker (my skin color is fair) pigmentation. This pigmentation has also affected the whole of my groin area. Some dots of such pigmentation have also come up under my extreme armpits. What should I do now? What is this condition? Can you diagnose the state conclusively?

Doctor: Hello. I understand your concern. The pictures are a bit hazy. But from the given images, it looks like a fungal infection by the name of pityriasis versicolor. I would also need to see your chest, upper back, and shoulders to be sure. Kindly send clear photos of the same to make a conclusive diagnosis. Meanwhile, you can start using the following medicines. 1. Tab Fluconazole 400 mg start and repeat once after a week. 2. 2 % Ketoconazole lotion apply for 5-7 mins and wash off once a day."
17,ruslanmv_ai_medical_chatbot,Q. I get fever during rainy and winter season. Why?,"Patient: Hello doctor, During rainy and winter season get frequent fevers. Most of the times I get it diagnosed, and every time doctors tell it is only viral fever. Fevers generally come twice a month. I take Paracetamol and Cefixime usually (on the advice of doctors). Generally, the illnesses go in 10 days. This has been happening from the last three years. Can you suggest any cure for it? I am a small time businessman, and this is affecting my financials. Regarding my medical history, I am a premature baby of seven months. As told by my mom and relatives, I remained alive on medicines with great difficulty. And also from childhood, I used to get skin diseases frequently, and for that, I think I was regularly administered antibiotics.

Doctor: Hello. I need to know a few things, 1. Do you feel feverish, or does the thermometer record a temperature? 2. What other symptoms do you get? Runny or blocked nose, sore throat, throat pain with swallowing, headaches, body pains, etc. 3. Does anyone else around you (family members, co-workers, etc.) develop similar symptoms before or after you do? 4. Do you get any tests done like blood tests or X-rays during those episodes? From your description, it appears that you are getting frequent viral upper respiratory tract infections. These are acquired from other patients through the air (coughing, sneezing, etc.). They are usually short-lived and last no more than five to seven days. Since more than 300 different viruses can cause similar symptoms, you can get infected multiple times each time with a different virus. The same virus cannot affect you again. Unfortunately, antibiotics do not work against viruses. They are meant for bacterial infections only. However, doctors continue to prescribe antibiotics unnecessarily, and this has led to the emergence of widespread bacterial resistance.  Other than symptomatic treatment, no medicine can cure or prevent these infections. They are self-limited, and you will get better even if you do not take any medication. The older you get, the less frequently you will get these infections as your body will be building up defenses with every disease. No household tips or vitamin supplements have been proven to work. Premature birth can lead to increased frequency of infections, but unless the infections are bacterial, not much can be done about them. Please get back to me with answers to the above questions and also attach any test reports you may have."
18,ruslanmv_ai_medical_chatbot,Q. Why does one develop swelling after snake bite?,"Patient: Hi doctor, I am a 40 year old female. I got cottonmouth bite on the back of the left and right ankle. Three people saw and confirmed that as cottonmouth. I do not believe much venom was released. It happened under shallow water. I got immediate pain as if repeatedly the ankle and feet got hit with a bat and a burning swelling began quickly. I went to the ER. They monitored my blood for two hours and decided no antivenom. I was not given either a tetanus shot or any antibiotics. From the laboratory work, they said everything looks good, but I could not stand or walk. They sent me home with Ultram and Ibuprofen 800 mg. After two days, the swelling slightly increased instead of going down. My fiance took me to different hospitals. The swelling and the fang marks were evident. Again, the laboratory work came back as normal. I was still in pain and swollen ankles. They gave steroid IM injection and Prednisone pack and suggested antihistamine. It has been six days. Still, I cannot stand, walk or care for myself in any way. The swelling has not got down. I have kept it elevated and put some cool fabric packs on swollen areas. It seems to help with burning sensation. I have been drinking Echinacea tea, water and taking all medicines prescribed such as Ultram, Benadryl, Prednisone and Ibuprofen 800 mg. Back of my legs up to the thigh is swollen, entire legs hurt and tender to even minimal touch. Bruising has darkened and the swelling has not gone down. There are no red lines and no skin rotting. What shall I do now? I want the swelling to get relieved. I am scared. How to reduce the swelling? Please tell me what I need to do just to be able to stand briefly. The pain has subsided from 10 to 5, but if I try to stand by just keeping the foot down towards the floor, then the pain is excruciating. Please help.

Doctor: Hi. I could understand your crisis. For further information consult a toxicologist online -->"
19,ruslanmv_ai_medical_chatbot,Q. Why is there a continuous rise in temperature despite taking antibiotics?,"Patient: Hi doctor, My father is 71 years old. He had a fever for a week, and the temperature raised up to 104 during the night along with frequent urination. Two days ago, the fever came down to 98.4 for five hours but again increased to 102.3 despite taking the same antibiotics. He is taking tablet Gudcef-CV 200 for five days and injection Monocef, twice a day for four days. His TLC was 18,000 last week. Please give your opinion.

Doctor: Hi. I went through your post and investigation (attachment removed to protect patient identity). Regards. For further queries consult an internal medicine physician online -->"
20,ruslanmv_ai_medical_chatbot,Q. Can my 3 year old son lead a normal life after sepsis?,"Patient: Hi doctor, My 3 year old son was diagnosed with sepsis with SIRS, three days back. But, now his WBC and C-reactive protein are within limits. Will he have sepsis again? He frequently gets wheezing and allergic cough. He is currently taking Amclav.

Doctor: Hello. Regards. For more information consult a paediatrician online -->"
21,ruslanmv_ai_medical_chatbot,Q. What is the main reason for sepsis in a newborn?,"Patient: Hello doctor, What is the main reason for sepsis to occur in a newborn? Will parents be the reason?

Doctor: Hi. For further information consult a paediatrician online -->"
22,ruslanmv_ai_medical_chatbot,Q. I have bulging eye problem for a year even after some treatment. Why?,"Patient: Hello doctor, I am facing bulging eye problem for a year. I am not able to sleep at night due to watery eyes. I went to the doctor, and he did an MRI and found that my eye muscles have enlarged. He gave the treatment for three months, but there was no benefit. He gave me Solu Medrol 500 mg then 250 mg injections for two months and some vitamin tablets. It is a severe problem. Please help me.

Doctor: Hello. The condition you have described is called proptosis. The most common cause of proptosis is thyroid abnormality (hyperthyroidism) and called thyroid eye disease (TED). In this condition, eye muscle gets enlarged due to GAG (glycosaminoglycans) material deposition. This condition usually resolves after active and quiet phase that takes up to five to seven years. During this time the actual cause is treated (hyperthyroidism) and for proptosis steroids may be given (that you have already taken). Enlarged muscles can compress the optic nerve and can cause permanent vision loss. So you need to consult an endocrinologist for the treatment of thyroid abnormality. Quit smoking (if you are a smoker) and keep follow your eye doctor to avoid complication that can cause permanent vision loss. You are welcome for any queries."
23,ruslanmv_ai_medical_chatbot,Q. Why are my hands and feet cold and sweaty always?,"Patient: Hello doctor, I am a 30 year old male, who weighs 200 lbs and 6 feet tall. I have been looking for my symptoms after watching a TV show. I know some things are not right with me, and I have been curious to find the cause. It could be one or more problems. Here is what is going on. I have cold hand and feet, sweaty hands and feet, many bumps in the arms, mainly right arm, sand paper hair since a young age, and my feet get numb and eventually very painful when walking. I have severe vitamin D deficiency, and my eyelids are always half closed. I have low metabolism, and I experience a lot of teeth problems. I might have osteoporosis. What is causing all this? Is it tumors or parasites or a neurological problem?

Doctor: Hello. Cold and sweaty hands and feet can happen in heart failure, anxiety, hyperthyroidism and shock. Numb feet, which are painful while walking can be due to neuropathy, nerve root compression at lumbosacral spine, or arterial occlusion in legs. The half closed eyelids can be ptosis, or something else. I suggest you get the following tests done: Since when you are having these problems? Do you have any impending doom, palpitation, breathlessness? I suggest you meet a neurologist in-person for proper clinical examination and better judgment. Revert with more information to a neurologist online -->"
24,ruslanmv_ai_medical_chatbot,Q. Can thyroid problem cause excessive hair fall?,"Patient: Hi doctor, I have thyroid issues for the past three years. I got this when I was pregnant. I am taking Thyronorm 75 mcg tablet for the last three months. Recently, I have done the thyroid test and my T3 and T4 are normal and TSH is very low. It shows less than 0.01. What does it indicate? First, I was on 50 mcg and before three months I started 75 mcg as the TSH was approximately 6 at that time. Please explain.

Doctor: Hi. For further doubts consult an obstetrician and gynaecologist online -->"
25,ruslanmv_ai_medical_chatbot,Q. Why do I face difficulty in losing weight?,"Patient: Hi doctor, I am a 35 year old woman. My height is 5'3"" and weight is 147lbs. I do not have a child yet, but will be trying to conceive soon. I am a vegan and eat healthy. I workout five days a week and sometimes will go for a 5 km runs around two to three times a week as well. I went off my birth control pill about three months ago and have not had a period since. I was diagnosed with PCOS when I was 15, but after going vegan two years ago, doctor said it definitely helped with symptoms. I have been eating right and working out for the last three months, and my weight has not budged. In fact, it seems I have gained numbers on the scale. Three months ago, I was 139 lbs. Is there anything in my report that could be the reason for not being able to lose weight or abdominal fat? Is there anything in the infertility test portion that could indicate the issues in trying to conceive? I would like to get a professional advice on my blood work results. I am mainly looking to find out if anything on here can indicate infertility or difficulty in losing weight. Please help.

Doctor: Hello. I have gone through the reports (attachment removed to protect patient identity). For further information consult an obstetrician and gynaecologist online -->"
26,ruslanmv_ai_medical_chatbot,Q. What does abutment of the nerve root mean?,"Patient: Hi doctor,I am just wondering what is abutting and abutment of the nerve root means in a back issue. Please explain. What treatment is required for annular bulging and tear?

Doctor: Hi. I have gone through your query with diligence and would like you to know that I am here to help you. For further information consult a neurologist online -->"
27,ruslanmv_ai_medical_chatbot,Q. Will Nano-Leo give permanent solution for erection problem?,"Patient: Hello doctor, I am 48 years old. I am experiencing weak erection and difficulty in sustaining the same. This condition was observed 10 years back. Also, there is premature ejaculation. Other physical ailments that I have are, I am suffering from hypertension and taking Amlopres-L (Amlodipine and Lisinopril) for the last 10 years, high cholesterol and triglycerides. My cholesterol level is 225 and triglyceride is 200 for the last 12 years. I used to do frequent masturbation in early age. I do have erection during morning hours many times, particularly after sound sleep or if I had long walk previous day. I am having Sildenafil 25 mg or 5 mg Cialis, which is effective enough. But, I wish to get rid of tablet support and live natural way. I consulted urologist today and he prescribed me Nano-Leo capsules and Modula 5 mg for 10 days. I wish to have your second opinion on this. Please guide.

Doctor: Hi. For further doubts consult a sexologist online -->"
28,ruslanmv_ai_medical_chatbot,"Q. Every time I eat spicy food, I poop blood. Why?","Patient: Hi doctor, I am a 26 year old male. I am 5 feet and 9 inches tall and weigh 255 pounds. When I eat spicy food, I poop blood. Sometimes when I have constipation as well, I poop a little bit of blood. I am really scared that I have colon cancer. I do have diarrhea often. I do not have a family history of colon cancer. I got blood tests done last night. Please find my reports attached.

Doctor: Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->"
29,ruslanmv_ai_medical_chatbot,Q. Will Kalarchikai cure multiple ovarian cysts in PCOD?,"Patient: Hello doctor, I have multiple small cysts in both ovaries (PCOS). Our family friend suggested me to consume Kalarchikai medicine, powdered mixed with pepper and honey to have it for one mandalam (48 days). I have completed nearly 44 days by consuming one small ball of the mixture every morning and before two weeks I got my periods. Then I had checked whether the cysts were dissolved by having an abdomen scan. But still, small multiple follicules have been seen in it with both ovaries enlarged. Kindly suggest me what I can do further. I got married before one and a half years and I am much worried about my pregnancy. I have gallstones as well.

Doctor: Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help."
30,ruslanmv_ai_medical_chatbot,Q. I masturbate only by rubbing the tip of the penis. Is it a wrong way?,"Patient: Hi doctor, During masturbation I just rub the tip of the penis and not the entire penis. Is it a wrong way of doing? I do not get excited during sex and unable to ejaculate. Only, rubbing the tip of the penis gives me excitement. Also, two weeks ago, I have undergone circumcision as my foreskin did not retract. Before circumcision too, I have the same problem. Please help.

Doctor: Hi. For further doubts consult a sexologist online -->"
31,ruslanmv_ai_medical_chatbot,Q. Suffering from subclinical hyperthyroidism with anxiety and palpitations.,"Patient: Dear Doctor, I am trying to figure out what is wrong with my 15 year old daughter. Her symptoms have developed most significantly over the past few months, and include depression, weakness, constant light-headedness, shortness of breath (even when sitting still), difficulty taking a deep breath (causes pain), episodes where breathing becomes especially difficult, a complete lack of energy, continual exhaustion, continual muscle soreness (especially in the calves), cold hands and feet (to the point of turning blue), intolerance to cold and heat especially, episodes of a racing heartbeat, and episodes of anxiety and disorientation. At first our focus was on her was depression but now our focus is shifting toward her problems with physical activity and breathing, especially as she has now come to the point where she can no longer participate in any sports. We have seen a psychiatrist for her depression who discovered the MTHFR Mutation, which has since been addressed with a megadose of methyl folate. After three weeks on the medication there has been no improvement. Her paediatrician tested her for asthma and the results were negative. We have put her on various vitamin B supplements and have made sure she is getting proper nutrition and rest. Again, nothing has helped. Other labwork, as well as some of her symptoms, has made us consider her thyroid. The thyroid results are as follows:  TSH: 0.059 ulU/ml. AntioTPO-Ab: 84.9 IU/mL. Anti-Thyroglobulin: 134 IU/mL. Total T3: 130 ng/dL. T4: 10.5 ug/dL. Other labs that were out of the normal range are as follows:  - Ferritin: 31 ng/mL (her other iron results were normal). - Differential (Audo Diff) Neutrophils: 66%. In spite of a low TSH we have been told that as long as the T4 level is within normal range there is no need for attention with the thyroid. Yet, I canno help but keep coming back to the thyroid and wonder if this is not where we should focus our efforts. Any thoughts please?

Doctor: Hi, It is really sad to know about your daughter. 1. As a matter of fact your daughter seems to have acute thyroiditis. Though the thyroid profile has not shown full blown thyrotoxic state, she has subclinical hyperthyroidism with TSH being suppressed. Since how long has she been like this? Thyroiditis might take 8-12 weeks to settle. How old are the reports? Thyroiditis might leave the patient hypothyroid. 2. Secondly she is 15, puberty is another phase of major hormonal and emotional change over. How are her periods? Has she put on weight? or lost some? You have supplemented with multivitamins, please see if B12 upto 1500 mcg is being given and Vitamin D 1000 IU daily or 60,000 IU once a week is going. Also supplement her with calcium and magnesium and check these levels as well. Treat her with Propranolol 10mg twice a day to beat the anxiety and palpitations. Get back to an endocrinologist online -->"
32,ruslanmv_ai_medical_chatbot,Q. Is PAP test valid for screening prostatitis symptoms?,"Patient: Hi doctor, I asked my doctor to do PSA test. The PSA came back normal at 1.0 ng/mL. However, he also did prostatic acid phosphatase test which was high at 4.5 ng/mL. My question is whether prostatic acid phosphatase test is valid for screening or not? Should I need to do these tests again? I had prostatitis symptoms in the past. Now, it seems to be fine.

Doctor: Hi. I have gone through your query. Prostatic acid phosphatase (PAP) has been replaced by PSA (prostate-specific antigen test). It is better in the detection of prostate cancer compared to PAP. The elevation of PAP levels alone is not a cause for concern. I hope your treating doctor has done a rectal exam to find out any prostate nodules. If it is normal, then it is not necessary to repeat the tests. Hope this helps you. Feel free to revert back with any questions. For more information consult an urologist online -->"
33,ruslanmv_ai_medical_chatbot,Q. Why is my free PSA abnormal?,"Patient: Hello doctor, 50 years old, 5.8 inches, 260 lbs. On blood pressure pills. My doctor is out of town for a few weeks. I reviewed PSA test results and apparently I have one abnormal reading out of three. PSA total 0.5, PSA free 0.1, PSA % free 20. The PSA % free 20 is in red indicating abnormal. What does this mean? What causes it to be abnormal?

Doctor: Hi. Free PSA should be more than 15 % to rule out prostate cancer. Free PSA is an additional tool used when PSA is above 2.5 and we want to check whether high PSA is due to benign prostate growth or due to prostate cancer. Some laboratories use 25 % cutoff, but most have 15 % cutoff value. Since your total PSA is quite low and free PSA is above 15 %, you should not worry. If in doubt, repeat after a few months."
